Month,Category,Region,Revenue,Units,Discount,Margin,Profit
2025-01-01,T-Shirts,North,56518.99742131362,1520.3131915081315,0.1537781064472967,0.19726185861180393,11149.042478204079
2025-01-01,T-Shirts,South,48679.0954283547,1815.8487963552334,0.23106457669783262,0.23598761367611037,11487.663566049081
2025-01-01,T-Shirts,West,56857.75717478811,2084.7750933757516,0.1844152019613684,0.2054563735121261,11681.788595165033
2025-01-01,T-Shirts,East,39051.355784095045,1167.6076186896478,0.08237869753691353,0.2414873923386462,9430.41007558982
2025-01-01,Shirts,North,46955.97778406377,1604.8605158276107,0.17414112996678732,0.20443357145186516,9599.378239410595
2025-01-01,Shirts,South,38151.55415571949,1000.4821747561157,0.16303876921095659,0.1830702442586942,6984.4143381363665
2025-01-01,Shirts,West,51173.32578553174,1464.781543359334,0.16499151653694397,0.21124408445836268,10810.062354254176
2025-01-01,Shirts,East,39124.15318887529,1518.9069126811146,0.13292320244967715,0.3083066156004258,12062.235257894747
2025-01-01,Jeans,North,64490.09038604248,2619.5258835497043,0.08240300819698448,0.2531281812469369,16324.259287869505
2025-01-01,Jeans,South,57321.76435565635,1595.5775738393334,0.139398861775214,0.17262194404288295,9894.994399041432
2025-01-01,Jeans,West,63464.91354859353,1531.0265454686528,0.13885875561411057,0.24905177659694647,15806.049470848837
2025-01-01,Jeans,East,50603.813515624155,1246.5916718872431,0.12479582729252918,0.23578283110198966,11931.510415270992
2025-01-01,Dresses,North,52486.09949054804,1348.6581285143218,0.09760701062223812,0.20870381287456954,10954.049086591378
2025-01-01,Dresses,South,47273.87242465289,1399.9387337569683,0.14458377862276578,0.22591779766746087,10680.00914539009
2025-01-01,Dresses,West,58353.06155816408,2421.3493339590445,0.15752543299783905,0.2552403962657127,14894.058555423328
2025-01-01,Dresses,East,44810.88814625389,1207.1206399932616,0.09223521145498127,0.24689524283596406,11063.595110564578
2025-01-01,Jackets,North,46322.87742015505,1546.355425494283,0.17389953072050618,0.2229145400033499,10326.042911745426
2025-01-01,Jackets,South,38667.08799696035,1295.2366492335868,0.16656366200773892,0.2791711192972702,10794.734236077462
2025-01-01,Jackets,West,48072.05086050792,1838.129807949044,0.1751589804051411,0.26274808053965315,12630.839091203039
2025-01-01,Jackets,East,35510.30868489652,1041.2667378126569,0.12838782824005218,0.29982678806947194,10646.941796347997
2025-01-01,Activewear,North,44372.294587257864,1814.2579678784214,0.16698561269688508,0.18189876950539108,8071.2657855529305
2025-01-01,Activewear,South,47664.753716031366,1437.6655015097815,0.12011476504731197,0.2604587722363519,12414.70323182562
2025-01-01,Activewear,West,59468.034403329184,2114.917784808107,0.10667784017768588,0.24523710617790298,14583.768667160426
2025-01-01,Activewear,East,37858.59450036981,1407.2789452111135,0.17119309529659332,0.2415887054842813,9146.208836798673
2025-02-01,T-Shirts,North,55540.82091960692,1386.2310939688866,0.18309703449010103,0.2739312126027068,15214.36442345771
2025-02-01,T-Shirts,South,50226.11714777301,1251.596398424428,0.12840761077551915,0.2335891610976464,11732.27656974041
2025-02-01,T-Shirts,West,59381.04126443012,1533.432333918404,0.09414182733405467,0.16411919876835937,9745.568914349156
2025-02-01,T-Shirts,East,43594.383547015714,1557.0567917043043,0.14457784675629537,0.21131804921253994,9212.280087778609
2025-02-01,Shirts,North,51248.2550826519,1537.2217796576397,0.17818228855665424,0.19462921070881684,9974.40743694065
2025-02-01,Shirts,South,48434.45607416979,1167.3181726568598,0.07365529531154313,0.2632926610002373,12752.436823867272
